Εβδομάδα,Score
2018-01-07,84
2018-01-14,68
2018-01-21,84
2018-01-28,77
2018-02-04,85
2018-02-11,71
2018-02-18,71
2018-02-25,77
2018-03-04,73
2018-03-11,68
2018-03-18,71
2018-03-25,75
2018-04-01,75
2018-04-08,71
2018-04-15,72
2018-04-22,69
2018-04-29,70
2018-05-06,74
2018-05-13,70
2018-05-20,62
2018-05-27,71
2018-06-03,77
2018-06-10,76
2018-06-17,65
2018-06-24,73
2018-07-01,68
2018-07-08,69
2018-07-15,81
2018-07-22,70
2018-07-29,78
2018-08-05,81
2018-08-12,80
2018-08-19,83
2018-08-26,75
2018-09-02,86
2018-09-09,100
2018-09-16,89
2018-09-23,75
2018-09-30,71
2018-10-07,78
2018-10-14,76
2018-10-21,71
2018-10-28,79
2018-11-04,70
2018-11-11,78
2018-11-18,71
2018-11-25,65
2018-12-02,71
2018-12-09,82
2018-12-16,67
2018-12-23,73
2018-12-30,72
